DataSet: FA_Titration_30000_Codons
#_of_Genes= 125
subSet_#= 0
pAsite= 8 ;pNumber= 15
Upper bound of Likelihood= 471122
Initial Likelihood= 268340
Iterations to Log-Likelihood Maximum Using Position-Hessian Approximation
Iter;   Lhd;    Grag_Norm;   z_Shift;   (vDir,vGrad);  (eDir,vGrad);  cos_vD_vG;stepSize;  (eD_Old,vG_New;  cos_vD_Old_vG_New
1; 268340; 3.42787; 4.35404e-05; 0.000773044; 1.14606; 0.334335; 2; 0; 0; 
2; 268340; 4.88804; 2.70661e-05; 0.00204946; 1.34872; 0.275922; 0.551879; -0.0495629; -0.00988798; 
3; 268340; 2.36729; 3.46883e-05; 0.00156684; 0.799657; 0.337794; 0.548527; 1.51865e-05; 5.98244e-06; 
4; 268340; 3.66379; 1.97291e-05; 0.00151448; 1.05325; 0.287475; 0.425117; 7.85462e-06; 2.08178e-06; 
5; 268340; 1.76358; 2.48673e-05; 0.00090175; 0.622669; 0.353072; 0.532029; 6.68996e-06; 3.63647e-06; 
6; 268340; 2.72972; 1.38984e-05; 0.000844264; 0.831434; 0.304586; 0.424082; 4.95408e-06; 1.7821e-06; 
7; 268340; 1.3089; 1.77815e-05; 0.000502898; 0.485986; 0.371293; 0.532411; 2.794e-06; 2.08341e-06; 
8; 268340; 2.03859; 9.84685e-06; 0.000472614; 0.657308; 0.322433; 0.424322; 1.68107e-06; 8.13671e-07; 
9; 268340; 0.974417; 1.27842e-05; 0.000282306; 0.379718; 0.389688; 0.532785; -3.3063e-06; -3.33678e-06; 
10; 268340; 1.52634; 7.00375e-06; 0.000266049; 0.520486; 0.341003; 0.424536; 9.53699e-06; 6.18172e-06; 
11; 268340; 0.72795; 9.22529e-06; 0.00015928; 0.297044; 0.408056; 0.533059; -3.61035e-06; -4.89703e-06; 
12; 268340; 1.14546; 4.99742e-06; 0.00015043; 0.412624; 0.360225; 0.424718; 1.05835e-05; 9.15662e-06; 
13; 268340; 0.545517; 6.67915e-06; 9.02313e-05; 0.232527; 0.426251; 0.533302; 1.59317e-06; 2.89066e-06; 
14; 268340; 0.861404; 3.57672e-06; 8.53739e-05; 0.3273; 0.379961; 0.424855; 1.18372e-06; 1.36343e-06; 
15; 268340; 0.409877; 4.84976e-06; 5.12849e-05; 0.182038; 0.444128; 0.53337; -3.84182e-06; -9.29192e-06; 
16; 268340; 0.648675; 2.56923e-06; 4.85734e-05; 0.259412; 0.39991; 0.425138; 4.3517e-05; 6.66173e-05; 
17; 268340; 0.308766; 3.53307e-06; 2.92417e-05; 0.142497; 0.461506; 0.533449; -4.46243e-06; -1.43424e-05; 
18; 268340; 0.489411; 1.85097e-06; 2.77251e-05; 0.205556; 0.420007; 0.425198; -1.3767e-05; -2.79509e-05; 
19; 268340; 0.232915; 2.58211e-06; 1.67046e-05; 0.111407; 0.478316; 0.533564; -1.31013e-05; -5.58617e-05; 
